2022-08-29 21:52:01,018 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Tuan Anh\ToThuy\Kien truc PM\2022\apache-activemq-5.17.1\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-08-29 21:52:02,629 | INFO  | PListStore:[C:\Tuan Anh\ToThuy\Kien truc PM\2022\apache-activemq-5.17.1\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-08-29 21:52:02,810 | INFO  | Apache ActiveMQ 5.17.1 (localhost, ID:RAKUS089-52255-1661784722645-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-08-29 21:52:02,858 | INFO  | Listening for connections at: tcp://RAKUS089:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-08-29 21:52:02,858 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-08-29 21:52:02,876 | INFO  | Listening for connections at: amqp://RAKUS089:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-08-29 21:52:02,876 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-08-29 21:52:02,883 | INFO  | Listening for connections at: stomp://RAKUS089:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-08-29 21:52:02,883 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-08-29 21:52:02,883 | INFO  | Listening for connections at: mqtt://RAKUS089:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-08-29 21:52:02,883 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-08-29 21:52:02,898 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
